Rank,Song,Artist,Streams,Days,Country,Change,Streams_Int
415,Daisies,Justin Bieber,"126,234",123.0,GB,+11,126234
416,Undressed,Sombr,"126,152",229.0,DE,-4,126152
417,Every Breath You Take,The Police,"125,980",406.0,GB,-2,125980
418,Tach Tach,Coup,"125,921",31.0,DE,+8,125921
419,Dog Days Are Over,Florence + The Machine,"125,121",1273.0,GB,+18,125121
420,Last Christmas,Wham!,"124,906",529.0,DE,-19,124906
421,House Tour,Sabrina Carpenter,"124,268",74.0,GB,+4,124268
422,Escapism,Raye,"124,104",663.0,GB,+2,124104
423,The Hardest Part,Olivia Dean,"123,998",87.0,GB,+9,123998
424,In The End,Linkin Park,"121,640",2656.0,DE,+4,121640
425,Naive,The Kooks,"121,159",3192.0,GB,+13,121159
426,Just Keep Watching,Tate Mcrae,"121,120",165.0,GB,+19,121120
427,How Its Done,Huntr/X,"120,998",140.0,GB,-31,120998
428,Folded,Kehlani,"120,812",74.0,GB,+15,120812
429,Love Me Not,Ravyn Lenae,"120,727",221.0,DE,-5,120727
430,Rockin Around The Christmas Tree,Brenda Lee,"120,401",467.0,CA,-5,120401
431,Mystical Magical,Benson Boone,"120,340",200.0,GB,-21,120340
432,Dreams,Fleetwood Mac,"120,219",2692.0,AU,0,120219
433,Father Figure,Taylor Swift,"119,385",39.0,GB,-3,119385
434,Tit For Tat,Tate Mcrae,"119,330",46.0,AU,+4,119330
435,Eternity,Alex Warren,"118,406",116.0,DE,-2,118406
436,Victory Lap,Fred Again..,"118,289",146.0,GB,+44,118289
437,Thats So True,Gracie Abrams,"118,211",389.0,GB,-4,118211
438,Sleepwalking,Lily Allen,"118,074",18.0,GB,+8,118074
439,The Emptiness Machine,Linkin Park,"118,066",431.0,DE,+13,118066
440,Love Me Not,Ravyn Lenae,"117,658",261.0,AU,0,117658
441,Mr Brightside,The Killers,"117,307",846.0,DE,-3,117307
442,Sailor Song,Gigi Perez,"116,239",468.0,GB,+3,116239
443,Sports Car,Tate Mcrae,"115,871",291.0,GB,+12,115871
444,Eternity,Alex Warren,"115,842",115.0,GB,-2,115842
445,So Easy,Olivia Dean,"115,666",44.0,CA,+6,115666
446,A Couple Minutes,Olivia Dean,"115,253",46.0,GB,+5,115253
447,Shababs Im Vip,Pashanim,"114,691",195.0,DE,+17,114691
448,Love All Night,Amo,"113,311",132.0,DE,+12,113311
449,Every Breath You Take,The Police,"113,302",366.0,DE,-4,113302
450,Good Luck Babe,Chappell Roan,"113,233",583.0,GB,-2,113233
451,4 Raws,Esdeekid,"113,217",27.0,GB,+27,113217
452,Just Keep Watching,Tate Mcrae,"113,170",165.0,AU,+6,113170
453,Sweater Weather,The Neighbourhood,"113,101",1762.0,GB,-5,113101
454,Rcken An Rcken,Aymo,"112,533",32.0,DE,+17,112533
455,Mr Brightside,The Killers,"111,769",3839.0,AU,-1,111769
456,Just Keep Watching,Tate Mcrae,"111,187",165.0,DE,+12,111187
457,Lass Die Affen Ausm Zoo,Haftbefehl,"110,880",39.0,DE,+28,110880
458,Piano Man,Billy Joel,"110,089",98.0,GB,-12,110089
459,Iris,The Goo Goo Dolls,"109,450",377.0,DE,-3,109450
460,Beautiful Things,Benson Boone,"109,109",662.0,AU,-1,109109
461,Sparks,Coldplay,"109,029",395.0,GB,+9,109029
462,The Life Of A Showgirl,Taylor Swift,"108,824",39.0,GB,-3,108824
463,Fucked Up Feat Makko,Nina Chuba,"108,469",88.0,DE,+2,108469
464,Ich Rolle Mit Meim Besten,Haftbefehl,"108,368",53.0,DE,+22,108368
465,Teenage Dirtbag,Wheatus,"107,650",574.0,GB,-12,107650
466,The Less I Know The Better,Tame Impala,"107,473",796.0,GB,+22,107473
467,Nobodys Son,Sabrina Carpenter,"107,131",74.0,GB,+17,107131
468,Elizabeth Taylor,Taylor Swift,"106,769",39.0,AU,+1,106769
469,Vielleicht Vielleicht,Milleniumkid,"106,537",195.0,DE,+26,106537
470,Rookie De Lanne,Sosa La M,"106,352",11.0,DE,+22,106352
471,Iris,The Goo Goo Dolls,"106,108",1176.0,CA,+11,106108
472,Promiscuous,Nelly Furtado,"105,924",944.0,GB,+6,105924
473,Breakin Dishes,Rihanna,"105,822",221.0,GB,+4,105822
474,Ghettogirl,Capo,"105,534",162.0,DE,+32,105534
475,Baby Steps,Olivia Dean,"105,380",45.0,AU,+4,105380
476,The Night We Met,Lord Huron,"105,305",886.0,DE,-5,105305
477,Take Me Out,Franz Ferdinand,"105,058",537.0,GB,+24,105058
478,Timeless,The Weeknd,"105,002",398.0,GB,+4,105002
479,Gabriela,Katseye,"104,823",126.0,GB,-20,104823
480,Dracula,Tame Impala,"104,809",43.0,AU,+10,104809
481,Messy,Lola Young,"104,804",359.0,GB,-2,104804
482,Stick Season,Noah Kahan,"104,015",771.0,GB,+8,104015
483,Lose Control,Teddy Swims,"103,883",738.0,AU,+4,103883
484,Gar Nichts,Nalya,"103,846",5.0,DE,+39,103846
485,Carry You Home,Alex Warren,"103,578",496.0,GB,+4,103578
486,Numb,Linkin Park,"103,366",1144.0,DE,+17,103366
487,Victory Lap,Fred Again..,"103,196",146.0,AU,+14,103196
488,Santa Tell Me,Ariana Grande,"102,929",507.0,CA,-1,102929
489,Where Is My Husband,Raye,"102,609",53.0,CA,+11,102609
490,Stargazing,Myles Smith,"102,579",549.0,GB,-9,102579
491,Jingle Bell Rock,Bobby Helms,"102,554",432.0,CA,-6,102554
492,Get Low,Jamal,"101,365",84.0,DE,+32,101365
493,Dont Dream Its Over,Crowded House,"101,260",432.0,AU,-5,101260
494,Elizabeth Taylor,Taylor Swift,"101,130",39.0,CA,+6,101130
495,Dakota,Stereophonics,"100,915",501.0,GB,+12,100915
496,Its Beginning To Look A Lot Like Christmas,Michael Bublé,"100,813",522.0,CA,-7,100813
497,Someone You Loved,Lewis Capaldi,"100,800",2322.0,GB,-13,100800
498,Your Idol,Saja Boys,"100,778",141.0,AU,-11,100778
499,Berghain,Rosalía,"100,647",9.0,GB,+62,100647
500,Ok Love You Bye,Olivia Dean,"100,442",93.0,GB,+6,100442
501,Erlknig,Lūcadelic,"100,331",4.0,DE,+106,100331
502,Wie,Ayliva,"100,130",263.0,DE,+1,100130
503,Chasing Cars,Snow Patrol,"99,855",1067.0,GB,-11,99855
504,Tears,Sabrina Carpenter,"99,614",75.0,AU,+3,99614
505,A Bar Song,Shaboozey,"99,463",578.0,AU,-4,99463
506,Ruminating,Lily Allen,"99,433",18.0,GB,+23,99433
507,Everywhere,Fleetwood Mac,"99,297",2264.0,GB,-7,99297
508,Maybe,Sienna Spiro,"99,020",15.0,GB,+26,99020
509,Yellow,Coldplay,"98,858",1873.0,GB,+14,98858
510,Birds Of A Feather,Billie Eilish,"98,496",544.0,AU,-1,98496
511,Beautiful Things,Benson Boone,"98,345",661.0,DE,-6,98345
512,Elizabeth Taylor,Taylor Swift,"98,243",39.0,DE,+9,98243
513,Walzer,Provinz,"98,045",265.0,DE,+19,98045
514,Brazil Funk Freestyle 2,Bobby Vandamme,"97,673",18.0,DE,+24,97673
515,Manchild,Sabrina Carpenter,"97,198",158.0,AU,+3,97198
516,Joana,Omar,"97,044",4.0,DE,+33,97044
517,Soda Pop,Saja Boys,"96,982",141.0,CA,-4,96982
518,Pink Pony Club,Chappell Roan,"96,726",499.0,AU,-2,96726
519,Lichterkinder,Lichterkinder,"96,483",14.0,DE,+36,96483
520,What It Sounds Like,Huntr/X,"96,081",141.0,AU,-10,96081
521,Wackelkontakt,Oimara,"95,881",299.0,DE,-24,95881
522,Ich Geh Mit Meiner Laterne,Lichterkinder,"95,567",30.0,DE,+9,95567
523,Wenn Das Liebe Ist,Nina Chuba,"95,531",165.0,DE,+12,95531
524,30 Mal Am Tag,Aymen,"95,013",110.0,DE,+21,95013
525,Father Figure,Taylor Swift,"94,983",39.0,AU,-2,94983
526,Beautiful Things,Benson Boone,"94,811",662.0,CA,+5,94811
527,What I Want,Morgan Wallen,"94,600",179.0,CA,+9,94600
528,Alors,Kurdo,"94,568",206.0,DE,+53,94568
529,Die With A Smile,Lady Gaga,"94,416",452.0,DE,-8,94416
530,Birds Of A Feather,Billie Eilish,"94,361",542.0,DE,-22,94361
531,Love Me Not,Ravyn Lenae,"94,338",260.0,CA,+10,94338
532,The Way I Are,Timbaland,"94,056",920.0,DE,-4,94056
533,The Chain,Fleetwood Mac,"93,976",505.0,AU,+3,93976
534,Unsicher,Nina Chuba,"93,509",221.0,DE,+9,93509
535,Paparazzi,Sosa La M,"93,388",25.0,DE,+36,93388
536,Erstersommerohnedich,Pashanim,"92,803",61.0,DE,+36,92803
537,Sweater Weather,The Neighbourhood,"92,508",1867.0,CA,+8,92508
538,Breakin Dishes,Rihanna,"92,124",211.0,DE,+11,92124
539,How Its Done,Huntr/X,"91,265",141.0,AU,-9,91265
540,Father Figure,Taylor Swift,"91,247",39.0,CA,+9,91247
541,Marlboro Mann,Kraftklub,"90,960",4.0,DE,+25,90960
542,Dracula,Tame Impala,"90,883",25.0,DE,+28,90883
543,Pechschwarz,Capo,"90,697",10.0,DE,+44,90697
544,Daisies,Justin Bieber,"90,235",123.0,CA,+11,90235
545,Softcore,The Neighbourhood,"90,160",439.0,DE,+10,90160
546,Manchild,Sabrina Carpenter,"89,989",158.0,CA,+15,89989
547,What It Sounds Like,Huntr/X,"89,851",141.0,DE,-16,89851
548,Timeless,The Weeknd,"89,514",386.0,DE,+15,89514
549,Wunder,Ayliva,"89,370",563.0,DE,0,89370
550,How Its Done,Huntr/X,"89,337",141.0,DE,-28,89337
551,Apt,Rosé,"88,956",389.0,DE,-25,88956
552,Dreams,Fleetwood Mac,"88,818",1832.0,CA,+8,88818
553,When Did You Get Hot,Sabrina Carpenter,"88,638",75.0,AU,+7,88638
554,Your Idol,Saja Boys,"87,980",141.0,CA,-7,87980
555,La Perla,Rosalía,"87,964",4.0,DE,+15,87964
556,Your Idol,Saja Boys,"87,709",141.0,DE,-24,87709
557,The Life Of A Showgirl,Taylor Swift,"87,591",39.0,AU,+2,87591
558,I Remember Everything,Zach Bryan,"87,460",809.0,AU,+2,87460
559,Mami,Ikkimel,"87,380",11.0,DE,+54,87380
560,I Got Better,Morgan Wallen,"87,309",179.0,CA,+11,87309
561,Enter Sandman,Metallica,"87,279",231.0,AU,+2,87279
562,Gabriela,Katseye,"87,242",144.0,AU,-6,87242
563,Die With A Smile,Lady Gaga,"86,974",452.0,AU,+4,86974
564,Sailor Song,Gigi Perez,"86,955",432.0,DE,+5,86955
565,Ghettobb,Dardan,"86,580",4.0,DE,+24,86580
566,Beende Mich,Vega,"86,431",4.0,DE,+24,86431
567,Wonderwall,Oasis,"86,188",2225.0,AU,-7,86188
568,Unendlichkeit,Milleniumkid,"86,022",336.0,DE,+24,86022
569,I Remember Everything,Zach Bryan,"85,908",809.0,CA,+13,85908
570,Phantom,Esdeekid,"85,611",27.0,DE,+25,85611
571,Billie Jean,Michael Jackson,"85,392",156.0,DE,+1,85392
572,Der Herbst Ist Da,Lichterkinder,"85,224",43.0,DE,-49,85224
573,Soda Pop,Saja Boys,"84,908",139.0,DE,-45,84908
574,Sugar On My Tongue,"Tyler, The Creator","84,733",113.0,AU,+4,84733
575,Mauern Aus Granit,Ness,"84,724",2.0,DE,+77,84724
576,Underneath The Tree,Kelly Clarkson,"84,677",338.0,CA,-14,84677
577,Dont Look Back In Anger,Oasis,"84,585",44.0,AU,-8,84585
578,Something In The Orange,Zach Bryan,"84,293",1248.0,AU,+5,84293
579,Gabriela,Katseye,"83,529",144.0,CA,+2,83529
580,Riptide,Vance Joy,"82,980",4029.0,AU,0,82980
